1,2,3,4,5,6,7,8,9,10,11,12
2.1892,2.3158,2.2775,0,T-H,0.0,0.0,1.1665,1.2804,1.0723,5504.0,32.0
2.0697,2.1518,2.3384,0,T-H,0.0,0.0,1.1913,1.3663,1.1873,5504.0,32.0
2.2737,1.7341,2.4897,0,T-H,0.0,0.0,1.1411,1.3024,1.2234,5504.0,32.0
2.343,1.719,2.2207,0,T-H,0.0,0.0,1.1411,1.2977,1.2016,5503.0,32.0
2.2603,1.6566,2.1913,0,T-H,0.0,0.0,1.127,1.1964,1.2715,5503.0,32.0
2.2663,1.4899,2.3293,0,T-H,0.0,0.0,1.1176,1.1493,1.3078,5503.0,32.0
2.2149,1.4657,2.3207,0,T-H,0.0,0.0,1.1306,1.1205,1.4236,5503.0,32.0
2.4562,1.4237,2.5152,0,T-H,0.0,0.0,1.1461,1.1142,1.4549,5503.0,32.0
2.2066,1.4877,2.5139,0,T-H,0.0,0.0,1.1274,1.0502,1.4549,5503.0,32.0
2.2066,1.5442,2.52,0,T-H,0.0,0.0,1.1274,1.1168,1.4795,5503.0,32.0
1.8543,1.7103,2.6942,0,T-H,0.0,0.0,1.1412,1.1523,1.5363,5504.0,32.0
1.7042,2.0571,2.6823,0,T-H,0.0,0.0,1.1237,1.2098,1.4963,5504.0,32.0
1.5708,2.1109,2.6552,0,T-H,0.0,0.0,1.0566,1.2978,1.5138,5504.0,32.0
1.4034,2.1997,2.5956,0,T-H,0.0,0.0,1.0927,1.2541,1.6144,5504.0,32.0
1.6202,2.2952,2.808,0,T-H,0.0,0.0,1.1525,1.2058,1.6101,5504.0,32.0
1.5691,2.5116,2.6546,0,T-H,0.0,0.0,1.1598,1.3115,1.6675,5504.0,32.0
1.7576,2.6333,2.7378,0,T-H,0.0,0.0,1.1452,1.3887,1.612,5501.0,32.0
2.0104,2.7115,2.7378,0,T-H,0.0,0.0,1.2219,1.4894,1.612,5501.0,32.0
2.2869,2.332,2.3668,0,T-H,0.0,0.0,1.2653,1.4033,1.4722,5501.0,32.0
2.217,2.4668,2.4153,0,T-H,0.0,0.0,1.1717,1.3509,1.471,5503.0,32.0
2.1652,1.9669,2.1183,0,T-H,0.0,0.0,1.1403,1.0466,1.4073,5503.0,32.0
2.2447,2.0965,2.1328,0,T-H,0.0,0.0,1.2017,0.9709,1.4154,5503.0,32.0
1.9065,2.0965,2.2093,0,T-H,0.0,0.0,1.091,0.9703,1.3225,5502.0,32.0
1.7726,1.9302,1.8041,0,T-H,0.0,0.0,1.146,0.9356,1.1519,5502.0,32.0
1.677,1.9275,1.6778,0,T-H,0.0,0.0,1.1545,0.8884,1.1745,5504.0,32.0
1.4391,1.7905,1.8887,0,T-H,0.0,0.0,0.9892,0.8911,1.2073,5504.0,32.0
